PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
138. Andrew MacDonald,,,UFA,31,D,Left,,73,2,16,18,-5,20:06,-,-,-,-,-,,"$4,750,000","$5,000,000"
139. James Neal,,M-NTC,UFA,30,"LW, RW",Left,,70,23,18,41,-10,17:41,-,-,-,-,-,,"$5,000,000","$5,000,000"
140. Matt Moulson,,M-NTC,UFA,34,LW,Left,,81,14,18,32,-4,11:36,-,-,-,-,-,,"$5,000,000","$5,000,000"
141. Mikhail Grabovski,,,UFA,34,"C, RW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$5,000,000","$5,000,000"
142. Mike Cammalleri,,NTC,UFA,35,"LW, C",Left,,61,10,21,31,-9,17:21,-,-,-,-,-,,"$5,000,000","$5,000,000"
143. Andy Greene,,NTC,UFA,35,D,Left,,66,4,9,13,-16,21:56,-,-,-,-,-,,"$5,000,000","$5,000,000"
144. Danny DeKeyser,,,UFA,28,D,Left,,82,4,8,12,-22,21:56,-,-,-,-,-,,"$4,000,000","$5,000,000"
145. Marc Methot,,M-NTC,UFA,32,D,Left,,68,0,12,12,13,19:49,-,-,-,-,-,,"$4,900,000","$4,900,000"
146. Sami Vatanen,,,UFA,26,D,Right,,71,3,21,24,3,21:39,-,-,-,-,-,,"$5,000,000","$4,875,000"
147. Marián Gáborík,,,UFA,36,RW,Left,,56,10,11,21,-4,14:47,-,-,-,-,-,,"$6,075,000","$4,875,000"
148. Ryane Clowe,,NMC,UFA,35,"LW, RW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$4,850,000","$4,850,000"
149. Paul Martin,,M-NTC,UFA,37,D,Left,,81,4,22,26,10,19:13,-,-,-,-,-,,"$5,000,000","$4,850,000"
150. Justin Faulk,,,UFA,26,D,Right,,75,17,20,37,-18,23:08,-,-,-,-,-,,"$5,500,000","$4,833,333"
151. Nikita Kucherov,,,RFA,24,RW,Left,,74,40,45,85,13,19:26,-,-,-,-,-,,"$4,250,000","$4,766,667"
152. Scott Hartnell,,NMC,UFA,35,LW,Left,,78,13,24,37,14,12:03,-,-,-,-,-,,"$5,000,000","$4,750,000"
153. Vincent Trocheck,,,UFA,24,"C, RW",Right,,82,23,31,54,-13,20:49,-,-,-,-,-,,"$3,750,000","$4,750,000"
154. Carl Söderberg,,NTC,UFA,32,"C, LW",Left,,80,6,8,14,-26,13:26,-,-,-,-,-,,"$4,750,000","$4,750,000"
